Which of the following are main components of the AWS global infrastructure? (Select TWO),Resource groups.,Availability Zones.,Security groups.,Regions.,Amazon Machine Images (AMIS).,B D
What is the AWS customer responsible for according to the AWS shared responsibility model?,Physical access controls.,Data encryption.,Secure disposal of storage devices.,Environmental risk management.,,B
If each department within a company has its own AWS account what is one way to enable consolidated billing?,Use AWS Budgets on each account to pay only to budget.,Contact AWS Support for a monthly bill.,Create an AWS Organization from the payer account and invite the other accounts to join.,Put all invoices into one Amazon Simple Storage Service (Amazon S3) bucket load data into Amazon Redshift and then run a billing report.,,C
What costs are included when comparing AWS Total Cost of Ownership (TCO) with on-premises TCO?,Project management.,Antivirus software licensing.,Data center security.,Software development.,,C
Which services can be used across hybrid AWS Cloud architectures? (Select TWO),Amazon Route 53.,Virtual Private Gateway.,Classic Load Balancer.,Auto Scaling.,Amazon CloudWatch default metrics.,A B
Which statement best describes Elastic Load Balancing?,It translates a domain name into an IP address using DNC.,It distributes incoming application traffic across one or more Amazon EC2 instances.,It collects metrics on connected Amazon EC2 instances.,It automatically adjusts the number of Amazon EC2 instances to support incoming traffic.,,B
Which of the following is a fast and reliable NoSQL database service?,Amazon Redshift.,Amazon RDS.,Amazon DynamoDB.,Amazon S3.,,C
Which AWS service would you use to obtain compliance reports and certificates?,AWS Artifact.,AWS Lambda.,Amazon Inspector.,AWS Certificate Manager.,,A
Which AWS services are defined as global instead of regional? (Select TWO),Amazon Route 53.,Amazon EC2.,Amazon S3.,Amazon CloudFront.,Amazon DynamoDB.,A D
How would an AWS customer easily apply common access controls to a large set of users?,Apply an IAM policy to an IAM group.,Apply an IAM policy to an IAM role.,Apply the same IAM policy to all IAM users with access to the same workload.,Apply an IAM policy to an Amazon Cognito user pool.,,A
Which of the following is an important architectural design principle when designing cloud applications?,Use multiple Availability Zones.,Use tightly coupled components.,Use open source software.,Provision extra capacity.,,A
Which service allows a company with multiple AWS accounts to combine its usage to obtain volume discounts?,AWS Server Migration Service.,AWS Organizations.,AWS Budgets.,AWS Trusted Advisor.,,B1. 
Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO),AWS Concierge.,AWS CloudFormation.,Amazon Simple Storage Service (Amazon S3).,Amazon EC2 Auto Scaling.,AWS Management Console.,B E
Which of the following Reserved Instance (RI) pricing models provides the highest average savings compared to On-Demand pricing?,One-year No Upfront Standard RI pricing.,One-year All Upfront Convertible RI pricing.,Three-year All Upfront Standard RI pricing.,Three-year No Upfront Convertible RI pricing.,,C
Which of the following are features of Amazon CloudWatch Logs? (Select TWO),Summaries by Amazon Simple Notification Service (Amazon SNS).,Free Amazon Elasticsearch Service analytics.,Provided at no charge.,Real-time monitoring.,Adjustable retention.,D E
Which of the following is an AWS-managed compute service?,Amazon SWF.,Amazon EC2.,AWS Lambda.,Amazon Aurora.,,C
A company wants to reduce the physical compute footprint that developers use to run code. Which service would meet that need by enabling serverless architectures?,Amazon Elastic Compute Cloud (Amazon EC2).,AWS Lambda.,Amazon DynamoDB.,AWS CodeCommit.,,B
Which of the following is the customer’s responsibility under the AWS shared responsibility model?,Patching underlying infrastructure,Physical security,Patching Amazon EC2 instances,Patching network infrastructure,,C
According to the AWS shared responsibility model who is responsible for configuration management?,It is solely the responsibility of the customer.,It is solely the responsibility of AWS.,It is shared between AWS and the customer.,It is not part of the AWS shared responsibility model.,,C
Which security service automatically recognizes and classifies sensitive data or intellectual property on AWS?,Amazon GuardDuty.,Amazon Macie.,Amazon Inspector.,AWS Shield.,,B
Which of the following BEST describe the AWS pricing model? (Select TWO),Fixed-term.,Pay-as-you-go.,Colocation.,Planned.,Variable cost.,B E
Under the shared responsibility model which of the following tasks are the responsibility of the AWS customer? (Select TWO),Ensuring that application data is encrypted at rest.,Ensuring that AWS NTP servers are set to the correct time.,Ensuring that users have received security training in the use of AWS services.,Ensuring that access to data centers is restricted.,Ensuring that hardware is disposed of properly.,A C
A customer is using multiple AWS accounts with separate billing. How can the customer take advantage of volume discounts with minimal impact to the AWS resources?,Create one global AWS account and move all AWS resources to that account.,Sign up for three years of Reserved Instance pricing up front.,Use the consolidated billing feature from AWS Organizations.,Sign up for the AWS Enterprise support plan to get volume discounts.,,C
Which Amazon EC2 pricing model offers the MOST significant discount when compared to OnDemand Instances?,A Partial Upfront Reserved Instances for a 1-year term.,All Upfront Reserved instances for a 1 year form.,All Upfront Reserved Instances for a 3 year term.,No Upfront Reserved Instances for a 3 year term.,,C
Which AWS services should be used for read/write of constantly changing data? (Select TWO),Amazon Glacier.,Amazon RDS.,AWS Snowball.,Amazon Redshift.,Amazon EFS.,B E
Which AWS service allows users to identify the changes made to a resource over time?,Amazon Inspector.,AWS Config.,AWS Service Catalog.,AWS IAM.,,B
According to best practices how should an application be designed to run in the AWS Cloud?,Use tightly coupled components.,Use loosely coupled components.,Use infrequently coupled components.,Use frequently coupled components.,,B
Which benefits are included with the AWS Business Support plan? (Select TWO),24/7 assistance by way of live chat or a telephone call.,Support from a dedicated AWS Technical Account Manager.,An unlimited number of cases and contacts.,15-minute response time for production system interruption cases.,Annual operational reviews with AWS Solutions Architects.,A C
Which of the following is an AWS managed Domain Name System (DNS) web service?,Amazon Route 53.,Amazon Neptune.,Amazon SageMaker.,Amazon Lightsail.,,A
A user must meet compliance and software licensing requirements that state a workload must be hosted on a physical server. When Amazon EC2 instance pricing option will meet these requirements?,Dedicated Hosts.,Dedicated Instances.,Spot Instances.,Reserved Instances.,,A
